Month,Predicted Sales,Lower Bound,Upper Bound
2019-01-01,42548.01,32984.22,51456.13
2019-02-01,33309.98,24070.06,42274.34
2019-03-01,80304.52,71307.81,89866.44
2019-04-01,49968.36,41622.46,58950.18
2019-05-01,52137.27,42702.26,61408.78
2019-06-01,59742.12,51119.73,69252.9
2019-07-01,55962.5,46958.81,64996.65
2019-08-01,55817.66,46504.15,64930.81
2019-09-01,101744.63,92297.54,111071.93
2019-10-01,69091.74,59909.36,78341.39
2019-11-01,111918.79,102515.76,121056.44
2019-12-01,94436.03,84668.86,104304.71
