Order ID,Order Date,Ship Mode,Segment,Region,Category,Sub-Category,Sales,Year,Month
CA-2017-152156,2017-11-08,Second Class,Consumer,South,Furniture,Bookcases,261.96,2017,11
CA-2017-152156,2017-11-08,Second Class,Consumer,South,Furniture,Chairs,731.94,2017,11
CA-2017-138688,2017-06-12,Second Class,Corporate,West,Office Supplies,Labels,14.62,2017,6
US-2016-108966,2016-10-11,Standard Class,Consumer,South,Furniture,Tables,957.58,2016,10
US-2016-108966,2016-10-11,Standard Class,Consumer,South,Office Supplies,Storage,22.37,2016,10
CA-2015-115812,2015-06-09,Standard Class,Consumer,West,Furniture,Furnishings,48.86,2015,6
CA-2015-115812,2015-06-09,Standard Class,Consumer,West,Office Supplies,Art,7.28,2015,6
CA-2015-115812,2015-06-09,Standard Class,Consumer,West,Technology,Phones,907.15,2015,6
CA-2015-115812,2015-06-09,Standard Class,Consumer,West,Office Supplies,Binders,18.5,2015,6
CA-2015-115812,2015-06-09,Standard Class,Consumer,West,Office Supplies,Appliances,114.9,2015,6
CA-2015-115812,2015-06-09,Standard Class,Consumer,West,Furniture,Tables,1706.18,2015,6
CA-2015-115812,2015-06-09,Standard Class,Consumer,West,Technology,Phones,911.42,2015,6
CA-2018-114412,2018-04-15,Standard Class,Consumer,South,Office Supplies,Paper,15.55,2018,4
CA-2017-161389,2017-12-05,Standard Class,Consumer,West,Office Supplies,Binders,407.98,2017,12
US-2016-118983,2016-11-22,Standard Class,Home Office,Central,Office Supplies,Appliances,68.81,2016,11
US-2016-118983,2016-11-22,Standard Class,Home Office,Central,Office Supplies,Binders,2.54,2016,11
CA-2015-105893,2015-11-11,Standard Class,Consumer,Central,Office Supplies,Storage,665.88,2015,11
CA-2015-167164,2015-05-13,Second Class,Consumer,West,Office Supplies,Storage,55.5,2015,5
CA-2015-143336,2015-08-27,Second Class,Consumer,West,Office Supplies,Art,8.56,2015,8
CA-2015-143336,2015-08-27,Second Class,Consumer,West,Technology,Phones,213.48,2015,8
CA-2015-143336,2015-08-27,Second Class,Consumer,West,Office Supplies,Binders,22.72,2015,8
CA-2017-137330,2017-12-09,Standard Class,Corporate,Central,Office Supplies,Art,19.46,2017,12
CA-2017-137330,2017-12-09,Standard Class,Corporate,Central,Office Supplies,Appliances,60.34,2017,12
US-2018-156909,2018-07-16,Second Class,Consumer,East,Furniture,Chairs,71.37,2018,7
CA-2016-106320,2016-09-25,Standard Class,Consumer,West,Furniture,Tables,1044.63,2016,9
CA-2017-121755,2017-01-16,Second Class,Consumer,West,Office Supplies,Binders,11.65,2017,1
CA-2017-121755,2017-01-16,Second Class,Consumer,West,Technology,Accessories,90.57,2017,1
US-2016-150630,2016-09-17,Standard Class,Consumer,East,Furniture,Bookcases,3083.43,2016,9
US-2016-150630,2016-09-17,Standard Class,Consumer,East,Office Supplies,Binders,9.62,2016,9
US-2016-150630,2016-09-17,Standard Class,Consumer,East,Furniture,Furnishings,124.2,2016,9
US-2016-150630,2016-09-17,Standard Class,Consumer,East,Office Supplies,Envelopes,3.26,2016,9
US-2016-150630,2016-09-17,Standard Class,Consumer,East,Office Supplies,Art,86.3,2016,9
US-2016-150630,2016-09-17,Standard Class,Consumer,East,Office Supplies,Binders,6.86,2016,9
US-2016-150630,2016-09-17,Standard Class,Consumer,East,Office Supplies,Art,15.76,2016,9
CA-2018-107727,2018-10-19,Second Class,Home Office,Central,Office Supplies,Paper,29.47,2018,10
